embed_dropout,full_embed_dropout,shared_embed,add_shared_embed,frac_shared_embed,input_dim,n_heads,n_blocks,dropout,ff_hidden_dim,transformer_activation,mlp_hidden_dims,mlp_activation,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,with_wide,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
0.0,False,False,False,8,32,8,4,0.1,,relu,same,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2729743213438597
0.0,False,False,False,8,16,2,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27308828664607687
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27309810748842894
0.0,False,True,False,4,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27315853511700866
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,512,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2731618629768491
0.0,False,False,False,8,32,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2731680427906943
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2732621695174546
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,True,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27337708678401884
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,True,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2735783777764586
0.0,False,False,False,8,64,16,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2737512593386603
0.0,False,True,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2738656917067825
0.0,False,True,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27387116483000457
0.0,False,False,False,8,32,4,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27392280932332647
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27392983167875007
0.0,False,False,False,8,32,4,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2739749465320931
0.0,False,True,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27398485775853765
0.0,False,False,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2740218959382323
0.0,False,False,False,8,32,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.274108311924778
0.0,False,False,False,8,16,4,6,0.2,,relu,None,relu,False,False,False,True,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27411098802675965
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27419871189555184
0.0,False,False,False,8,64,16,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2745079083032295
0.0,False,True,False,4,16,4,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27451191622702803
0.0,False,True,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27469805615847226
0.0,False,False,False,8,64,16,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27473751834181487
0.0,False,True,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2747400024386703
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2748423450794376
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2749487965321932
0.0,False,False,False,8,64,16,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.275352524685078
0.0,False,True,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2754026311831396
0.0,False,False,False,8,64,16,4,0.1,,relu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2754386375184919
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2754465449051779
0.0,False,False,False,8,32,4,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2759100589595857
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.0004,128,0.0,RAdam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.27652463610055017
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2765891412731077
0.0,False,False,False,8,32,4,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27676725118863776
0.0,False,False,False,8,64,16,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2767697245371146
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.2770110493312117
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.0005,128,0.0,RAdam,CyclicLR,0.0005,0.03,25,10000.0,10.0,0.2773643849325962
0.1,True,False,False,8,16,4,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2776891212971484
0.0,False,False,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2783001314421169
0.0,False,False,False,8,64,16,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27965929762261815
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27970183042229196
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27976236016046807
0.0,False,True,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28110433504229687
0.0,False,False,False,8,32,4,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28306943031608084
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0005,128,0.0,AdamW,CyclicLR,0.0005,0.03,25,10000.0,10.0,0.2836889285044592
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.0004,128,0.0,RAdam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.28447773661769804
0.0,False,False,False,8,64,16,4,0.1,,relu,same,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28455399758503086
0.0,False,False,False,8,64,16,4,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2869698334424222
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0005,128,0.0,Adam,CyclicLR,0.0005,0.03,25,10000.0,10.0,0.28834588801274535
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.29075426302972385
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,AdamW,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.3511129769145465
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,AdamW,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.3511129774031092
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.351114277468353
0.0,False,False,False,8,16,4,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.3514011297069612
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.0004,128,0.0,AdamW,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.35161270127921807
